Updated,Type,Module,Source,F/P,Data
2022-11-04 23:51:51,AFFILIATE_DESCRIPTION_CATEGORY,sfp_duckduckgo,www.youtube.com,0,Alphabet Inc.
2022-11-05 19:34:38,AFFILIATE_DESCRIPTION_CATEGORY,sfp_duckduckgo,play.google.com,0,Alphabet Inc.
2022-11-04 23:51:51,AFFILIATE_DESCRIPTION_CATEGORY,sfp_duckduckgo,www.youtube.com,0,"Alternative media - Alternative media are media sources that differ from established or dominant types of media in terms of their content, production, or distribution."
2022-11-09 07:41:37,AFFILIATE_DESCRIPTION_CATEGORY,sfp_duckduckgo,212-94-124-0.dialup.ab.ru,0,Aluminium companies of the United Kingdom
2022-11-09 07:41:37,AFFILIATE_DESCRIPTION_CATEGORY,sfp_duckduckgo,212-94-124-0.dialup.ab.ru,0,Amber Valley
2022-11-04 23:50:55,AFFILIATE_DESCRIPTION_CATEGORY,sfp_duckduckgo,vk.com,0,Ambient awareness - Ambient awareness is a term used by social scientists to describe a new form of peripheral social awareness. This awareness is propagated from relatively constant contact with one's friends and colleagues via social networking platforms on the Internet.
2022-11-05 19:33:56,AFFILIATE_DESCRIPTION_CATEGORY,sfp_duckduckgo,apps.apple.com,0,Apple Inc. Category
2022-11-04 23:55:18,AFFILIATE_DESCRIPTION_CATEGORY,sfp_duckduckgo,reestr.digital.gov.ru,0,BRICS nations
2022-11-04 23:51:51,AFFILIATE_DESCRIPTION_CATEGORY,sfp_duckduckgo,www.youtube.com,0,"BookTube - BookTube is a book-specific subset of the YouTube community. The BookTube community has, to date, reached hundreds of thousands of viewers worldwide. While the majority of BookTubers focus on Young Adult literature, many address other genres."
2022-11-04 23:51:51,AFFILIATE_DESCRIPTION_CATEGORY,sfp_duckduckgo,www.youtube.com,0,"BreadTube - BreadTube or LeftTube is a loose and informal group of online content creators who create video content, including video essays and livestreams, from socialist, social democratic, communist, anarchist, and other left-wing perspectives."
2022-11-09 07:41:37,AFFILIATE_DESCRIPTION_CATEGORY,sfp_duckduckgo,212-94-124-0.dialup.ab.ru,0,British brands
2022-11-04 23:51:51,AFFILIATE_DESCRIPTION_CATEGORY,sfp_duckduckgo,www.youtube.com,0,CNN/YouTube presidential debates - The CNN/YouTube presidential debates were a series of televised debates sponsored by CNN and YouTube in which 2008 United States presidential election hopefuls fielded questions submitted through YouTube.
2022-11-09 07:41:37,AFFILIATE_DESCRIPTION_CATEGORY,sfp_duckduckgo,212-94-124-0.dialup.ab.ru,0,Companies based in Cornwall
2022-11-05 19:33:56,AFFILIATE_DESCRIPTION_CATEGORY,sfp_duckduckgo,apps.apple.com,0,"Companies based in Cupertino, California"
2022-11-09 07:41:37,AFFILIATE_DESCRIPTION_CATEGORY,sfp_duckduckgo,212-94-124-0.dialup.ab.ru,0,Companies based in Derbyshire
2022-11-09 07:41:37,AFFILIATE_DESCRIPTION_CATEGORY,sfp_duckduckgo,212-94-124-0.dialup.ab.ru,0,Companies based in Essex
2022-11-02 19:43:11,AFFILIATE_DESCRIPTION_CATEGORY,sfp_duckduckgo,ns2.rostelecom.ru,0,Companies based in Moscow
2022-11-05 01:13:03,AFFILIATE_DESCRIPTION_CATEGORY,sfp_duckduckgo,ns.avangarddsl.ru,0,Companies based in Moscow
2022-11-05 06:39:41,AFFILIATE_DESCRIPTION_CATEGORY,sfp_duckduckgo,mx.yandex.ru,0,Companies based in Moscow
2022-11-04 23:50:55,AFFILIATE_DESCRIPTION_CATEGORY,sfp_duckduckgo,vk.com,0,Companies based in Saint Petersburg
2022-11-04 23:51:51,AFFILIATE_DESCRIPTION_CATEGORY,sfp_duckduckgo,www.youtube.com,0,"Companies based in San Mateo County, California"
2022-11-05 19:33:56,AFFILIATE_DESCRIPTION_CATEGORY,sfp_duckduckgo,apps.apple.com,0,Companies in the Dow Jones Industrial Average
2022-11-05 19:33:56,AFFILIATE_DESCRIPTION_CATEGORY,sfp_duckduckgo,apps.apple.com,0,Companies in the PRISM network
2022-11-02 19:43:11,AFFILIATE_DESCRIPTION_CATEGORY,sfp_duckduckgo,ns2.rostelecom.ru,0,Companies listed on the Moscow Exchange
