Updated,Type,Module,Source,F/P,Data
2022-11-09 07:41:37,AFFILIATE_DESCRIPTION_ABSTRACT,sfp_duckduckgo,212-94-124-0.dialup.ab.ru,0,ABRU is a British engineering company in Derbyshire that makes domestic aluminium step ladders. It is the market leader in the UK.
2022-11-05 19:33:56,AFFILIATE_DESCRIPTION_ABSTRACT,sfp_duckduckgo,apps.apple.com,0,"Apple Inc. is an American multinational technology company specializing in consumer electronics, software and online services headquartered in Cupertino, California, United States. Apple is the largest technology company by revenue and, as of June 2022, is the world's biggest company by market capitalization, the fourth-largest personal computer vendor by unit sales and second-largest mobile phone manufacturer. It is one of the Big Five American information technology companies, alongside Alphabet, Amazon, Meta, and Microsoft. Apple was founded as Apple Computer Company on April 1, 1976, by Steve Jobs, Steve Wozniak and Ronald Wayne to develop and sell Wozniak's Apple I personal computer. It was incorporated by Jobs and Wozniak as Apple Computer, Inc. in 1977 and the company's next computer, the Apple II, became a best seller and one of the first mass-produced microcomputers. Apple went public in 1980 to instant financial success."
2022-11-05 19:34:38,AFFILIATE_DESCRIPTION_ABSTRACT,sfp_duckduckgo,play.google.com,0,"Google Search is a search engine provided by Google. Handling more than 3.5 billion searches per day, it has a 92% share of the global search engine market. It is also the most-visited website in the world. The order of search results returned by Google is based, in part, on a priority rank system called ""PageRank"". Google Search also provides many different options for customized searches, using symbols to include, exclude, specify or require certain search behavior, and offers specialized interactive experiences, such as flight status and package tracking, weather forecasts, currency, unit, and time conversions, word definitions, and more. The main purpose of Google Search is to search for text in publicly accessible documents offered by web servers, as opposed to other data, such as images or data contained in databases. It was originally developed in 1996 by Larry Page, Sergey Brin, and Scott Hassan."
2022-11-09 07:33:32,AFFILIATE_DESCRIPTION_ABSTRACT,sfp_duckduckgo,mail.kirovreg.ru,0,"Kirov Oblast is a federal subject of Russia in Eastern Europe. Its administrative center is the city of Kirov. Population: 1,341,312."
2022-11-05 20:58:49,AFFILIATE_DESCRIPTION_ABSTRACT,sfp_duckduckgo,mail.gosuslugi.pnzreg.ru,0,"Penza Oblast is a federal subject of Russia. Its administrative center is the city of Penza. As of the 2010 Census, its population was 1,386,186."
2022-11-02 19:43:11,AFFILIATE_DESCRIPTION_ABSTRACT,sfp_duckduckgo,ns2.rostelecom.ru,0,"Rostelecom is Russia's largest provider of digital services for a wide variety of consumers, households, private businesses, government and municipal authorities, and other telecom providers. Rostelecom interconnects all local public operators' networks into a single national network for long-distance service. In other words, if one makes a long-distance call or originates Internet contact to or from Russia, it is likely that Rostelecom is providing part of the service. The company's stock trades primarily on the Moscow Exchange."
2022-11-05 01:13:03,AFFILIATE_DESCRIPTION_ABSTRACT,sfp_duckduckgo,ns.avangarddsl.ru,0,"Rostelecom is Russia's largest provider of digital services for a wide variety of consumers, households, private businesses, government and municipal authorities, and other telecom providers. Rostelecom interconnects all local public operators' networks into a single national network for long-distance service. In other words, if one makes a long-distance call or originates Internet contact to or from Russia, it is likely that Rostelecom is providing part of the service. The company's stock trades primarily on the Moscow Exchange."
2022-11-04 23:55:18,AFFILIATE_DESCRIPTION_ABSTRACT,sfp_duckduckgo,reestr.digital.gov.ru,0,"Russia or the Russian Federation, is a transcontinental country spanning Eastern Europe and Northern Asia. It is the largest country in the world, covering over 17,098,246 square kilometres, and encompassing one-eighth of Earth's inhabitable landmass. Russia extends across eleven time zones sharing land boundaries with fourteen countries, more than any other country but China. It is the ninth-most populous country in the world and the most populous country in Europe, with a population of 146 million. The country's capital and largest city is Moscow, the largest city entirely within Europe. Saint Petersburg is Russia's cultural centre and second-largest city. Other major urban areas include Novosibirsk, Yekaterinburg, Nizhny Novgorod and Kazan. The East Slavs emerged as a recognisable group in Europe between the 3rd and 8th centuries CE. The medieval state of Kievan Rus' arose in the 9th century, and in 988 adopted Orthodox Christianity from the Byzantine Empire."
2022-11-04 23:50:55,AFFILIATE_DESCRIPTION_ABSTRACT,sfp_duckduckgo,vk.com,0,"VK is a Russian online social media and social networking service based in Saint Petersburg. VK is available in multiple languages but it is predominantly used by Russian speakers. VK users can message each other publicly or privately, create groups, public pages, and events; share and tag images, audio, and video; and play browser-based games. As of August 2018, VK had at least 500 million accounts. As of March 2022, it is the fourth most popular website in Russia. The network was also popular in Ukraine until it was banned by its parliament in 2017. According to SimilarWeb, VK is the 16th most visited website in the world."
2022-11-05 06:39:41,AFFILIATE_DESCRIPTION_ABSTRACT,sfp_duckduckgo,mx.yandex.ru,0,"Yandex LLC is a Russian multinational technology company providing Internet-related products and services, including an Internet search engine, information services, e-commerce, transportation, maps and navigation, mobile applications, and online advertising. It primarily serves audiences in Russia and the Commonwealth of Independent States of the former Soviet Union, and has more than 30 offices worldwide. The firm is the largest technology company in Russia and the second largest search engine on the Internet in Russian, with a market share of over 42%. It also has the largest market share of any search engine from Europe and the Commonwealth of Independent States and is the 5th largest search engine worldwide after Google, Bing, Yahoo!, and Baidu. Its main competitors on the Russian market are Google, VK, and Rambler."
2022-11-05 22:16:15,AFFILIATE_DESCRIPTION_ABSTRACT,sfp_duckduckgo,redirect.appmetrica.yandex.com,0,"Yandex Search is a search engine. It is owned by Yandex, based in Russia. In January 2015, Yandex Search generated 51.2% of all of the search traffic in Russia according to LiveInternet."
2022-11-04 23:51:51,AFFILIATE_DESCRIPTION_ABSTRACT,sfp_duckduckgo,www.youtube.com,0,"YouTube is an American online video sharing and social media platform headquartered in San Bruno, California. It was launched on February 14, 2005, by Steve Chen, Chad Hurley, and Jawed Karim. It is owned by Google, and is the second most visited website, after Google Search. YouTube has more than 2.5 billion monthly users who collectively watch more than one billion hours of videos each day. As of May 2019, videos were being uploaded at a rate of more than 500 hours of content per minute. In October 2006, 18 months after posting its first video and 10 months after its official launch, YouTube was bought by Google for $1.65 billion. Google's ownership of YouTube expanded the site's business model, expanding from generating revenue from advertisements alone, to offering paid content such as movies and exclusive content produced by YouTube. It also offers YouTube Premium, a paid subscription option for watching content without ads."
