Updated,Type,Module,Source,F/P,Data
2022-11-03 22:04:44,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,01-07.com,0,"   Domain Name: 01-07.COM
   Registry Domain ID: 2609338705_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.reg.com
   Registrar URL: http://www.reg.ru
   Updated Date: 2022-04-19T22:48:46Z
   Creation Date: 2021-05-03T05:05:34Z
   Registry Expiry Date: 2023-05-03T05:05:34Z
   Registrar: REGISTRAR OF DOMAIN NAMES REG.RU LLC
   Registrar IANA ID: 1606
   Registrar Abuse Contact Email: abuse@reg.ru
   Registrar Abuse Contact Phone: +74955801111
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Name Server: NS1.REG.RU
   Name Server: NS2.REG.RU
   DNSSEC: unsigned
   URL of the ICANN Whois Inaccuracy Complaint Form: https://www.icann.org/wicf/
>>> Last update of whois database: 2022-11-03T20:03:45Z <<<

For more information on Whois status codes, please visit https://icann.org/epp

NOTICE: The expiration date displayed in this record is the date the
registrar's sponsorship of the domain name registration in the registry is
currently set to expire."
2022-11-03 22:06:06,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,02swissmedica.com,0,"   Domain Name: 02SWISSMEDICA.COM
   Registry Domain ID: 2695605653_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.namecheap.com
   Registrar URL: http://www.namecheap.com
   Updated Date: 2022-05-12T13:45:08Z
   Creation Date: 2022-05-12T13:45:05Z
   Registry Expiry Date: 2023-05-12T13:45:05Z
   Registrar: NameCheap, Inc.
   Registrar IANA ID: 1068
   Registrar Abuse Contact Email: abuse@namecheap.com
   Registrar Abuse Contact Phone: +1.6613102107
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Name Server: DNS1.REGISTRAR-SERVERS.COM
   Name Server: DNS2.REGISTRAR-SERVERS.COM
   DNSSEC: unsigned
   URL of the ICANN Whois Inaccuracy Complaint Form: https://www.icann.org/wicf/
>>> Last update of whois database: 2022-11-03T20:05:47Z <<<

For more information on Whois status codes, please visit https://icann.org/epp

NOTICE: The expiration date displayed in this record is the date the
registrar's sponsorship of the domain name registration in t"
2022-11-03 22:15:14,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,1-inter.com,0,"   Domain Name: 1-INTER.COM
   Registry Domain ID: 2444996325_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.reg.com
   Registrar URL: http://www.reg.ru
   Updated Date: 2022-10-19T10:42:48Z
   Creation Date: 2019-10-18T18:15:40Z
   Registry Expiry Date: 2023-10-18T18:15:40Z
   Registrar: REGISTRAR OF DOMAIN NAMES REG.RU LLC
   Registrar IANA ID: 1606
   Registrar Abuse Contact Email: abuse@reg.ru
   Registrar Abuse Contact Phone: +74955801111
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Name Server: NS1.REG.RU
   Name Server: NS2.REG.RU
   DNSSEC: unsigned
   URL of the ICANN Whois Inaccuracy Complaint Form: https://www.icann.org/wicf/
>>> Last update of whois database: 2022-11-03T20:15:05Z <<<

For more information on Whois status codes, please visit https://icann.org/epp

NOTICE: The expiration date displayed in this record is the date the
registrar's sponsorship of the domain name registration in the registry is
currently set to expir"
2022-11-03 22:17:35,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,1-round.com,0,"   Domain Name: 1-ROUND.COM
   Registry Domain ID: 2554493460_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.reg.com
   Registrar URL: http://www.reg.ru
   Updated Date: 2022-08-22T07:43:55Z
   Creation Date: 2020-08-20T19:21:44Z
   Registry Expiry Date: 2023-08-20T19:21:44Z
   Registrar: REGISTRAR OF DOMAIN NAMES REG.RU LLC
   Registrar IANA ID: 1606
   Registrar Abuse Contact Email: abuse@reg.ru
   Registrar Abuse Contact Phone: +74955801111
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Name Server: NS1.REG.RU
   Name Server: NS2.REG.RU
   DNSSEC: unsigned
   URL of the ICANN Whois Inaccuracy Complaint Form: https://www.icann.org/wicf/
>>> Last update of whois database: 2022-11-03T20:17:22Z <<<

For more information on Whois status codes, please visit https://icann.org/epp

NOTICE: The expiration date displayed in this record is the date the
registrar's sponsorship of the domain name registration in the registry is
currently set to expir"
2022-11-03 17:21:20,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,abzubov.com,0,"   Domain Name: ABZUBOV.COM
   Registry Domain ID: 2096258636_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.reg.com
   Registrar URL: http://www.reg.ru
   Updated Date: 2022-01-24T11:57:51Z
   Creation Date: 2017-02-08T17:34:48Z
   Registry Expiry Date: 2023-02-08T17:34:48Z
   Registrar: REGISTRAR OF DOMAIN NAMES REG.RU LLC
   Registrar IANA ID: 1606
   Registrar Abuse Contact Email: abuse@reg.ru
   Registrar Abuse Contact Phone: +74955801111
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Name Server: NS1.REG.RU
   Name Server: NS2.REG.RU
   DNSSEC: unsigned
   URL of the ICANN Whois Inaccuracy Complaint Form: https://www.icann.org/wicf/
>>> Last update of whois database: 2022-11-03T15:21:05Z <<<

For more information on Whois status codes, please visit https://icann.org/epp

NOTICE: The expiration date displayed in this record is the date the
registrar's sponsorship of the domain name registration in the registry is
currently set to expir"
2022-11-05 08:32:17,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,alexashx.com,0,"   Domain Name: ALEXASHX.COM
   Registry Domain ID: 2576654223_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.reg.com
   Registrar URL: http://www.reg.ru
   Updated Date: 2021-12-06T07:11:26Z
   Creation Date: 2020-12-05T10:11:59Z
   Registry Expiry Date: 2022-12-05T10:11:59Z
   Registrar: REGISTRAR OF DOMAIN NAMES REG.RU LLC
   Registrar IANA ID: 1606
   Registrar Abuse Contact Email: abuse@reg.ru
   Registrar Abuse Contact Phone: +74955801111
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Name Server: NS1.REG.RU
   Name Server: NS2.REG.RU
   DNSSEC: unsigned
   URL of the ICANN Whois Inaccuracy Complaint Form: https://www.icann.org/wicf/
>>> Last update of whois database: 2022-11-05T06:31:56Z <<<

For more information on Whois status codes, please visit https://icann.org/epp

NOTICE: The expiration date displayed in this record is the date the
registrar's sponsorship of the domain name registration in the registry is
currently set to expi"
2022-11-09 07:34:29,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,asus.com,0,"   Domain Name: ASUS.COM
   Registry Domain ID: 2790608_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.net-chinese.com.tw
   Registrar URL: http://www.net-chinese.com.tw
   Updated Date: 2021-10-26T06:28:21Z
   Creation Date: 1995-10-25T04:00:00Z
   Registry Expiry Date: 2031-10-24T04:00:00Z
   Registrar: Net-Chinese Co., Ltd.
   Registrar IANA ID: 1336
   Registrar Abuse Contact Email: foreign@net-chinese.com.tw
   Registrar Abuse Contact Phone: +886 225319196
   Domain Status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Domain Status: clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited
   Name Server: NS1.EDGECASTDNS.NET
   Name Server: NS2.EDGECASTDNS.NET
   Name Server: NS3.EDGECASTDNS.NET
   Name Server: NS4.EDGECASTDNS.NET
   DNSSEC: unsigned
   URL of the ICANN Whois Inaccuracy Complaint Form: https://www.icann.org/wicf/
>>> Last update of whois data"
2022-11-09 22:25:46,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,asuscomm.com,0,"   Domain Name: ASUSCOMM.COM
   Registry Domain ID: 744507987_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.net-chinese.com.tw
   Registrar URL: http://www.net-chinese.com.tw
   Updated Date: 2020-06-30T05:58:07Z
   Creation Date: 2007-01-08T09:53:13Z
   Registry Expiry Date: 2025-01-08T09:53:13Z
   Registrar: Net-Chinese Co., Ltd.
   Registrar IANA ID: 1336
   Registrar Abuse Contact Email: foreign@net-chinese.com.tw
   Registrar Abuse Contact Phone: +886 225319196
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Name Server: NS1.ASUSCOMM.COM
   Name Server: NS2.ASUSCOMM.COM
   DNSSEC: unsigned
   URL of the ICANN Whois Inaccuracy Complaint Form: https://www.icann.org/wicf/
>>> Last update of whois database: 2022-11-09T20:25:28Z <<<

For more information on Whois status codes, please visit https://icann.org/epp

NOTICE: The expiration date displayed in this record is the date the
registrar's sponsorship of the domain name registration in the"
2022-11-05 08:37:51,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,brainreplaced.com,0,"   Domain Name: BRAINREPLACED.COM
   Registry Domain ID: 2202792369_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.reg.com
   Registrar URL: http://www.reg.ru
   Updated Date: 2022-04-11T06:34:12Z
   Creation Date: 2017-12-21T12:15:31Z
   Registry Expiry Date: 2022-12-21T12:15:31Z
   Registrar: REGISTRAR OF DOMAIN NAMES REG.RU LLC
   Registrar IANA ID: 1606
   Registrar Abuse Contact Email: abuse@reg.ru
   Registrar Abuse Contact Phone: +74955801111
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Name Server: JONAH.NS.CLOUDFLARE.COM
   Name Server: MAYA.NS.CLOUDFLARE.COM
   DNSSEC: unsigned
   URL of the ICANN Whois Inaccuracy Complaint Form: https://www.icann.org/wicf/
>>> Last update of whois database: 2022-11-05T06:37:41Z <<<

For more information on Whois status codes, please visit https://icann.org/epp

NOTICE: The expiration date displayed in this record is the date the
registrar's sponsorship of the domain name registration in the regi"
2022-11-05 08:25:36,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,cpp-kaspersky.com,0,"   Domain Name: CPP-KASPERSKY.COM
   Registry Domain ID: 2238157158_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.tucows.com
   Registrar URL: http://www.tucows.com
   Updated Date: 2022-02-14T08:24:15Z
   Creation Date: 2018-03-12T13:11:04Z
   Registry Expiry Date: 2024-03-12T13:11:04Z
   Registrar: Tucows Domains Inc.
   Registrar IANA ID: 69
   Registrar Abuse Contact Email: domainabuse@tucows.com
   Registrar Abuse Contact Phone: +1.4165350123
   Domain Status: ok https://icann.org/epp#ok
   Name Server: DORUKDNS1.DORUK.NET.TR
   Name Server: DORUKDNS2.DORUK.NET.TR
   Name Server: DORUKDNS3.DORUK.NET.TR
   DNSSEC: unsigned
   URL of the ICANN Whois Inaccuracy Complaint Form: https://www.icann.org/wicf/
>>> Last update of whois database: 2022-11-05T06:25:26Z <<<

For more information on Whois status codes, please visit https://icann.org/epp

NOTICE: The expiration date displayed in this record is the date the
registrar's sponsorship of the domain name registration in the registry i"
