Updated,Type,Module,Source,F/P,Data
2022-11-05 00:13:11,PROVIDER_JAVASCRIPT,sfp_pageinfo,"











<!doctype html>
<html id=""page-action-hello"">
<head>

    <meta content=""width=device-width, initial-scale=1"" name=""viewport"">
    <meta content=""ie=edge"" http-equiv=""x-ua-compatible"">
    <meta charset=""utf-8"" />
    <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"" />

    <link rel=""stylesheet"" href=""assets/css/libs.css?1a0eabad409564a13562b5c8b3a83cbc"" />
    <link rel=""stylesheet"" href=""assets/css/app.css?ed53baf46f449d4a0b32b46756b9e269"" />
    <!--[if lt IE 9]>
    <script src=""http://cdnjs.cloudflare.com/ajax/libs/html5shiv/3.7.2/html5shiv.min.js""></script>
    <![endif]-->

    

    <link rel=""shortcut icon"" type=""image/vnd.microsoft.icon"" href=""static/css/favicon.ico"" />

    
    
    <link rel=""stylesheet"" type=""text/css"" href=""static/lib/jplayer/style.css?411a92b12fd051127e8e03e22ff711c3"" />

    <title>Антикоррупционный сайт</title>

    <script type=""text/javascript"">
        window.loadQueue = [];
    </script>


    <script type=""text/javascript"">
        (functi",0,http://cdnjs.cloudflare.com/ajax/libs/html5shiv/3.7.2/html5shiv.min.js
2022-11-09 07:44:30,PROVIDER_JAVASCRIPT,sfp_pageinfo,"<!doctype html>
<!--[if lt IE 7]> <html class=""no-js lt-ie9 lt-ie8 lt-ie7"" lang=""en""> <![endif]-->
<!--[if IE 7]>    <html class=""no-js lt-ie9 lt-ie8"" lang=""en""> <![endif]-->
<!--[if IE 8]>    <html class=""no-js lt-ie9"" lang=""en""> <![endif]-->
<!-- Consider adding a manifest.appcache: h5bp.com/d/Offline -->
<!--[if gt IE 8]><!--> <html class=""no-js"" lang=""en""> <!--<![endif]-->
<HEAD>

	<META charset=""utf-8"">
	<META http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"">
	<META name=""viewport"" content=""width=device-width, initial-scale=1.0, maximum-scale=1.0, minimum-scale=1.0"">
	<META name=""description"" content=""Данная страница на сайте не найдена"">
	<META name=""keywords"" content=""Страница не найдена"">
	
	<base href=""http://lock.zakaz.nw.rt.ru"" />
	<link rel=""icon"" type=""image/png"" href=""/images/main/fatal_error_favicon.png"">
	<title>Страница не найдена</title>
	
	<link rel='stylesheet' type='text/css' href=""/utils/js_css/frameworks/bootstrap/css/bootstrap.min.css"">
	
	<link rel='stylesheet' type='text/css' ",0,http://html5shim.googlecode.com/svn/trunk/html5.js
2022-11-09 07:44:57,PROVIDER_JAVASCRIPT,sfp_pageinfo,"<!doctype html>
<!--[if lt IE 7]> <html class=""no-js lt-ie9 lt-ie8 lt-ie7"" lang=""en""> <![endif]-->
<!--[if IE 7]>    <html class=""no-js lt-ie9 lt-ie8"" lang=""en""> <![endif]-->
<!--[if IE 8]>    <html class=""no-js lt-ie9"" lang=""en""> <![endif]-->
<!-- Consider adding a manifest.appcache: h5bp.com/d/Offline -->
<!--[if gt IE 8]><!--> <html class=""no-js"" lang=""en""> <!--<![endif]-->
<HEAD>

	<META charset=""utf-8"">
	<META http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"">
	<META name=""viewport"" content=""width=device-width, initial-scale=1.0, maximum-scale=1.0, minimum-scale=1.0"">
	<META name=""description"" content=""Данная страница на сайте не найдена"">
	<META name=""keywords"" content=""Страница не найдена"">
	
	<base href=""http://lock.zakaz.nw.rt.ru"" />
	<link rel=""icon"" type=""image/png"" href=""/images/main/fatal_error_favicon.png"">
	<title>Страница не найдена</title>
	
	<link rel='stylesheet' type='text/css' href=""/utils/js_css/frameworks/bootstrap/css/bootstrap.min.css"">
	
	<link rel='stylesheet' type='text/css' ",0,http://html5shim.googlecode.com/svn/trunk/html5.js
2022-11-09 07:45:08,PROVIDER_JAVASCRIPT,sfp_pageinfo,"<!doctype html>
<!--[if lt IE 7]> <html class=""no-js lt-ie9 lt-ie8 lt-ie7"" lang=""en""> <![endif]-->
<!--[if IE 7]>    <html class=""no-js lt-ie9 lt-ie8"" lang=""en""> <![endif]-->
<!--[if IE 8]>    <html class=""no-js lt-ie9"" lang=""en""> <![endif]-->
<!-- Consider adding a manifest.appcache: h5bp.com/d/Offline -->
<!--[if gt IE 8]><!--> <html class=""no-js"" lang=""en""> <!--<![endif]-->
<HEAD>

	<META charset=""utf-8"">
	<META http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"">
	<META name=""viewport"" content=""width=device-width, initial-scale=1.0, maximum-scale=1.0, minimum-scale=1.0"">
	<META name=""description"" content=""Данная страница на сайте не найдена"">
	<META name=""keywords"" content=""Страница не найдена"">
	
	<base href=""http://index.nw.rt.ru"" />
	<link rel=""icon"" type=""image/png"" href=""/images/main/fatal_error_favicon.png"">
	<title>Страница не найдена</title>
	
	<link rel='stylesheet' type='text/css' href=""/utils/js_css/frameworks/bootstrap/css/bootstrap.min.css"">
	
	<link rel='stylesheet' type='text/css' href=",0,http://html5shim.googlecode.com/svn/trunk/html5.js
2022-11-09 07:45:25,PROVIDER_JAVASCRIPT,sfp_pageinfo,"<!doctype html>
<!--[if lt IE 7]> <html class=""no-js lt-ie9 lt-ie8 lt-ie7"" lang=""en""> <![endif]-->
<!--[if IE 7]>    <html class=""no-js lt-ie9 lt-ie8"" lang=""en""> <![endif]-->
<!--[if IE 8]>    <html class=""no-js lt-ie9"" lang=""en""> <![endif]-->
<!-- Consider adding a manifest.appcache: h5bp.com/d/Offline -->
<!--[if gt IE 8]><!--> <html class=""no-js"" lang=""en""> <!--<![endif]-->
<HEAD>

	<META charset=""utf-8"">
	<META http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"">
	<META name=""viewport"" content=""width=device-width, initial-scale=1.0, maximum-scale=1.0, minimum-scale=1.0"">
	<META name=""description"" content=""Данная страница на сайте не найдена"">
	<META name=""keywords"" content=""Страница не найдена"">
	
	<base href=""http://index.nw.rt.ru"" />
	<link rel=""icon"" type=""image/png"" href=""/images/main/fatal_error_favicon.png"">
	<title>Страница не найдена</title>
	
	<link rel='stylesheet' type='text/css' href=""/utils/js_css/frameworks/bootstrap/css/bootstrap.min.css"">
	
	<link rel='stylesheet' type='text/css' href=",0,http://html5shim.googlecode.com/svn/trunk/html5.js
2022-11-07 22:06:01,PROVIDER_JAVASCRIPT,sfp_pageinfo,"


<!DOCTYPE html>

<!--[if IE 7]>                  <html class=""ie7 no-js"" lang=""ru-RU"">     <![endif]-->

<!--[if lte IE 8]>              <html class=""ie8 no-js"" lang=""ru-RU"">     <![endif]-->

<!--[if (gte IE 9)|!(IE)]><!--> <html class=""not-ie no-js"" lang=""ru-RU"">  <!--<![endif]-->

<head>
    	<meta charset=""UTF-8"" />
	<meta name=""viewport"" content=""width=device-width, initial-scale=1""/>
	<meta name=""generator"" content=""Spyropress 3.7.0"" />
	<link rel=""alternate"" type=""application/rss+xml"" title=""АйДиТелеком RSS Feed"" href=""http://www.idtelecom.ru/feed/"" />
	<link rel=""pingback"" href=""http://www.idtelecom.ru/xmlrpc.php"" />

	<!-- This site is optimized with the Yoast SEO plugin v15.5 - https://yoast.com/wordpress/plugins/seo/ -->
	<title>Системы видеонаблюдения и IP-телефония - АйДиТелеком</title>
	<meta name=""description"" content=""Idtelecom.ru - это компания с высокопрофессиональным коллективом, предоставляющая услуги в реализации IP-телефонии, системы видеонаблюдения и многое другое"" />
	<m",0,http://www.idtelecom.ru/wp-content/plugins/LayerSlider/static/js/greensock.js?ver=1.11.8
2022-11-07 22:06:01,PROVIDER_JAVASCRIPT,sfp_pageinfo,"


<!DOCTYPE html>

<!--[if IE 7]>                  <html class=""ie7 no-js"" lang=""ru-RU"">     <![endif]-->

<!--[if lte IE 8]>              <html class=""ie8 no-js"" lang=""ru-RU"">     <![endif]-->

<!--[if (gte IE 9)|!(IE)]><!--> <html class=""not-ie no-js"" lang=""ru-RU"">  <!--<![endif]-->

<head>
    	<meta charset=""UTF-8"" />
	<meta name=""viewport"" content=""width=device-width, initial-scale=1""/>
	<meta name=""generator"" content=""Spyropress 3.7.0"" />
	<link rel=""alternate"" type=""application/rss+xml"" title=""АйДиТелеком RSS Feed"" href=""http://www.idtelecom.ru/feed/"" />
	<link rel=""pingback"" href=""http://www.idtelecom.ru/xmlrpc.php"" />

	<!-- This site is optimized with the Yoast SEO plugin v15.5 - https://yoast.com/wordpress/plugins/seo/ -->
	<title>Системы видеонаблюдения и IP-телефония - АйДиТелеком</title>
	<meta name=""description"" content=""Idtelecom.ru - это компания с высокопрофессиональным коллективом, предоставляющая услуги в реализации IP-телефонии, системы видеонаблюдения и многое другое"" />
	<m",0,http://www.idtelecom.ru/wp-content/plugins/LayerSlider/static/js/layerslider.kreaturamedia.jquery.js?ver=5.6.5
2022-11-07 22:06:01,PROVIDER_JAVASCRIPT,sfp_pageinfo,"


<!DOCTYPE html>

<!--[if IE 7]>                  <html class=""ie7 no-js"" lang=""ru-RU"">     <![endif]-->

<!--[if lte IE 8]>              <html class=""ie8 no-js"" lang=""ru-RU"">     <![endif]-->

<!--[if (gte IE 9)|!(IE)]><!--> <html class=""not-ie no-js"" lang=""ru-RU"">  <!--<![endif]-->

<head>
    	<meta charset=""UTF-8"" />
	<meta name=""viewport"" content=""width=device-width, initial-scale=1""/>
	<meta name=""generator"" content=""Spyropress 3.7.0"" />
	<link rel=""alternate"" type=""application/rss+xml"" title=""АйДиТелеком RSS Feed"" href=""http://www.idtelecom.ru/feed/"" />
	<link rel=""pingback"" href=""http://www.idtelecom.ru/xmlrpc.php"" />

	<!-- This site is optimized with the Yoast SEO plugin v15.5 - https://yoast.com/wordpress/plugins/seo/ -->
	<title>Системы видеонаблюдения и IP-телефония - АйДиТелеком</title>
	<meta name=""description"" content=""Idtelecom.ru - это компания с высокопрофессиональным коллективом, предоставляющая услуги в реализации IP-телефонии, системы видеонаблюдения и многое другое"" />
	<m",0,http://www.idtelecom.ru/wp-content/plugins/LayerSlider/static/js/layerslider.transitions.js?ver=5.6.5
2022-11-07 22:06:01,PROVIDER_JAVASCRIPT,sfp_pageinfo,"


<!DOCTYPE html>

<!--[if IE 7]>                  <html class=""ie7 no-js"" lang=""ru-RU"">     <![endif]-->

<!--[if lte IE 8]>              <html class=""ie8 no-js"" lang=""ru-RU"">     <![endif]-->

<!--[if (gte IE 9)|!(IE)]><!--> <html class=""not-ie no-js"" lang=""ru-RU"">  <!--<![endif]-->

<head>
    	<meta charset=""UTF-8"" />
	<meta name=""viewport"" content=""width=device-width, initial-scale=1""/>
	<meta name=""generator"" content=""Spyropress 3.7.0"" />
	<link rel=""alternate"" type=""application/rss+xml"" title=""АйДиТелеком RSS Feed"" href=""http://www.idtelecom.ru/feed/"" />
	<link rel=""pingback"" href=""http://www.idtelecom.ru/xmlrpc.php"" />

	<!-- This site is optimized with the Yoast SEO plugin v15.5 - https://yoast.com/wordpress/plugins/seo/ -->
	<title>Системы видеонаблюдения и IP-телефония - АйДиТелеком</title>
	<meta name=""description"" content=""Idtelecom.ru - это компания с высокопрофессиональным коллективом, предоставляющая услуги в реализации IP-телефонии, системы видеонаблюдения и многое другое"" />
	<m",0,http://www.idtelecom.ru/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js?ver=5.2.4.1
2022-11-07 22:06:01,PROVIDER_JAVASCRIPT,sfp_pageinfo,"


<!DOCTYPE html>

<!--[if IE 7]>                  <html class=""ie7 no-js"" lang=""ru-RU"">     <![endif]-->

<!--[if lte IE 8]>              <html class=""ie8 no-js"" lang=""ru-RU"">     <![endif]-->

<!--[if (gte IE 9)|!(IE)]><!--> <html class=""not-ie no-js"" lang=""ru-RU"">  <!--<![endif]-->

<head>
    	<meta charset=""UTF-8"" />
	<meta name=""viewport"" content=""width=device-width, initial-scale=1""/>
	<meta name=""generator"" content=""Spyropress 3.7.0"" />
	<link rel=""alternate"" type=""application/rss+xml"" title=""АйДиТелеком RSS Feed"" href=""http://www.idtelecom.ru/feed/"" />
	<link rel=""pingback"" href=""http://www.idtelecom.ru/xmlrpc.php"" />

	<!-- This site is optimized with the Yoast SEO plugin v15.5 - https://yoast.com/wordpress/plugins/seo/ -->
	<title>Системы видеонаблюдения и IP-телефония - АйДиТелеком</title>
	<meta name=""description"" content=""Idtelecom.ru - это компания с высокопрофессиональным коллективом, предоставляющая услуги в реализации IP-телефонии, системы видеонаблюдения и многое другое"" />
	<m",0,http://www.idtelecom.ru/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js?ver=5.2.4.1
